openalex_id	doi	failure_type	source
https://openalex.org/W4322012977	https://doi.org/10.53346/wjapls.2023.4.1.0054	affiliation	evals
https://openalex.org/W2749179601	https://doi.org/10.1016/j.jde.2019.01.028	affiliation	evals
https://openalex.org/W2460720347	https://doi.org/10.1371/journal.pone.0157918	affiliation	evals
https://openalex.org/W4401822121	https://doi.org/10.1016/j.jobe.2024.110541	affiliation	evals
https://openalex.org/W19689935	https://doi.org/10.3724/sp.j.1005.2009.00769	affiliation	evals
https://openalex.org/W1980865622	https://doi.org/10.5394/kinpr.2011.35.1.45	affiliation	evals
https://openalex.org/W2056182743	https://doi.org/10.1021/bi020443a	affiliation	evals
https://openalex.org/W4243392236	https://doi.org/10.2991/ijndc.1970.1.7.2	affiliation	evals
https://openalex.org/W1651782627	https://doi.org/10.5802/aif.2698	affiliation	evals
https://openalex.org/W4291123263	https://doi.org/10.5281/zenodo.6983814	affiliation	evals
https://openalex.org/W4388320241	https://doi.org/10.1016/c2020-1-03681-4	affiliation	evals
https://openalex.org/W2600263738	https://doi.org/10.17705/1cais.04005	affiliation	evals
https://openalex.org/W2581518590	https://doi.org/10.1371/journal.pone.0170874	affiliation	evals
https://openalex.org/W4413509887	https://doi.org/10.64628/aai.q7meu76st	affiliation	evals
https://openalex.org/W4223972562	https://doi.org/10.17989/encsr519dev	affiliation	evals
https://openalex.org/W3213518664	https://doi.org/10.5772/intechopen.99937	affiliation	evals
https://openalex.org/W4392770888	https://doi.org/10.17287/kmr.2024.53.1.225	affiliation	evals
https://openalex.org/W3112217724	https://doi.org/10.37506/mlu.v20i4.2198	affiliation	evals
https://openalex.org/W4285808563	https://doi.org/10.21125/edulearn.2022.2218	affiliation	evals
https://openalex.org/W4210653690	https://doi.org/10.17084/978-5-7765-1488-3-2021-257	affiliation	evals
https://openalex.org/W4406071482	https://doi.org/10.1016/j.nhres.2025.01.003	affiliation	evals
https://openalex.org/W3198222151	https://doi.org/10.7324/japs.2019.90718	affiliation	evals
https://openalex.org/W3080499564	https://doi.org/10.22541/au.159498909.94736998	affiliation	evals
https://openalex.org/W2989610323	https://doi.org/10.1108/whatt-08-2019-0050	affiliation	evals
https://openalex.org/W1992347786	https://doi.org/10.1021/jm060940f	affiliation	evals
https://openalex.org/W3209559339	https://doi.org/10.5281/zenodo.4769120	affiliation	evals
https://openalex.org/W4401731828	https://doi.org/10.1016/j.micron.2024.103705	affiliation	evals
https://openalex.org/W4383315100	https://doi.org/10.24875/rccar.m23000204	affiliation	evals
https://openalex.org/W4285296133	https://doi.org/10.51980/2542-1735_2022_1_99	affiliation	evals
https://openalex.org/W4414560991	https://doi.org/10.1016/b978-0-44-332908-1.00025-8	affiliation	evals
https://openalex.org/W2951856188	https://doi.org/10.1021/jo800302v	affiliation	evals
https://openalex.org/W4205759297	https://doi.org/10.5281/zenodo.4415683	affiliation	evals
https://openalex.org/W2519943406	https://doi.org/10.3923/jm.2016.202.207	affiliation	evals
https://openalex.org/W4406281418	https://doi.org/10.1016/j.cplett.2025.141877	affiliation	evals
https://openalex.org/W2963134252	https://doi.org/10.21125/edulearn.2019.1784	affiliation	evals
https://openalex.org/W4238558539	https://doi.org/10.1176/appi.neuropsych.13.1.113	affiliation	evals
https://openalex.org/W2343724234	https://doi.org/10.5281/zenodo.50733	affiliation	evals
https://openalex.org/W4377103872	https://doi.org/10.5152/auaf.2023.22067	affiliation	evals
https://openalex.org/W4310071463	https://doi.org/10.1016/j.fct.2022.113513	affiliation	evals
https://openalex.org/W4312791381	https://doi.org/10.1079/cabicompendium.17790	affiliation	evals
https://openalex.org/W3092164684	https://doi.org/10.2741/4901	affiliation	evals
https://openalex.org/W4413578755	https://doi.org/10.64628/ab.dnyyewgmp	affiliation	evals
https://openalex.org/W4366286089	https://doi.org/10.1016/j.jallcom.2023.170159	affiliation	evals
https://openalex.org/W3173645414	https://doi.org/10.1016/j.jclepro.2021.127996	affiliation	evals
https://openalex.org/W4296497906	https://doi.org/10.3102/1567974	affiliation	evals
https://openalex.org/W1783437245	https://doi.org/10.14825/prpsj1951.1995.179_184	affiliation	evals
https://openalex.org/W4417218625	https://doi.org/10.1130/abs/2025am-9028	affiliation	evals
https://openalex.org/W2313247888	https://doi.org/10.4045/tidsskr.15.0256	affiliation	evals
https://openalex.org/W4391896158	https://doi.org/10.1016/j.jece.2024.112249	affiliation	evals
https://openalex.org/W4245926924	https://doi.org/10.1021/scimeetings.1c01239	affiliation	evals
https://openalex.org/W2918907005	https://doi.org/10.4236/jss.2018.611003	affiliation	evals
